case,origin,source,checker,expected_observable_status,observed_status,runtime_ms,blocked_checks
eegain_matched_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,allow,allow,2.255602041259408,
eegain_unequal_calibration_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.370609039440751,
eegain_unequal_calibration_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.169740037061274,matched_calibration_trial_uids
eegain_unequal_population_labels_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3902499340474606,
eegain_unequal_population_labels_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.0694659324362874,matched_population_label_trial_uids
eegain_different_evaluation_support_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3815159909427166,
eegain_different_evaluation_support_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.2078879410400987,matched_evaluation_trial_uids
eegain_missing_provenance_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,unverifiable,allow,1.383870025165379,
eegain_missing_provenance_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,unverifiable,unverifiable,1.3792429817840457,
eegain_compound_fit_and_support_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.420176005922258,
eegain_compound_fit_and_support_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.23651307169348,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
eegain_selection_test_not_declared_as_validation_fold4,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.4211279340088367,
eegain_selection_test_not_declared_as_validation_fold4,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.1607670933008194,model_selection_test_exclusion;subject_preprocessing_selection_holdout
