dataset_id,scenario,method,estimand,replicates,coverage,coverage_mc_low,coverage_mc_high,bias,positive_rate,mean_width
ds005540,labels_only,normal_t,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p1_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p1_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p1_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p1_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p1_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p2_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p2_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p2_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p2_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p2_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p4_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,4.56786207752753e-18
ds005540,labels_only,normal_t,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
